run_id,model,dataset_size,split,score,config_path
20260428_143916,pop,50m,val,58.0252,configs/model/pop.yaml
20260428_143916,pop,50m,test,57.1888,configs/model/pop.yaml
20260428_162439,als,50m,val,22.9696,configs/model/als.yaml
20260428_162439,als,50m,test,22.6403,configs/model/als.yaml
20260428_163359,als_ranker,50m,val,24.5457,configs/ranker.yaml
20260428_174305,als_ranker,50m,val,24.5457,configs/ranker.yaml
20260428_175222,als_ranker,50m,val,24.5457,configs/ranker.yaml
20260428_175222,als_ranker,50m,test,24.139,configs/ranker.yaml
20260428_215956,als_ranker,50m,val,132.1202,configs/ranker.yaml
20260428_215956,als_ranker,50m,test,130.8419,configs/ranker.yaml
20260429_173718,"ranker[decaypop,als,repeat]",50m,val,309.2654,configs/ranker.yaml
20260429_173718,"ranker[decaypop,als,repeat]",50m,test,308.3839,configs/ranker.yaml
20260430_112535,"ranker[decaypop,als,repeat]",50m,val,306.2348,configs/ranker.yaml
20260430_112535,"ranker[decaypop,als,repeat]",50m,test,305.9064,configs/ranker.yaml
20260430_114649,"ranker[decaypop,als,repeat]",50m,val,308.5025,configs/ranker.yaml
20260430_114649,"ranker[decaypop,als,repeat]",50m,test,307.8059,configs/ranker.yaml
20260430_121314,"ranker[decaypop,als,repeat,itemknn,artist_pop,recent_likes]",50m,val,335.6377,configs/ranker.yaml
20260430_121314,"ranker[decaypop,als,repeat,itemknn,artist_pop,recent_likes]",50m,test,332.3996,configs/ranker.yaml
20260430_154207,"ranker[decaypop,als,repeat,itemknn,artist_pop,recent_likes]",50m,val,387.5492,configs/ranker.yaml
20260430_154207,"ranker[decaypop,als,repeat,itemknn,artist_pop,recent_likes]",50m,test,382.6138,configs/ranker.yaml
20260430_205247,"ranker[decaypop,als,repeat,itemknn,artist_pop,album_pop,recent_likes]",50m,val,383.2613,configs/ranker.yaml
20260430_205247,"ranker[decaypop,als,repeat,itemknn,artist_pop,album_pop,recent_likes]",50m,test,378.9588,configs/ranker.yaml
20260430_220147,"ranker[decaypop,als,repeat,itemknn,artist_pop,album_pop,recent_likes,audio_knn]",50m,val,385.0491,configs/ranker.yaml
20260430_220147,"ranker[decaypop,als,repeat,itemknn,artist_pop,album_pop,recent_likes,audio_knn]",50m,test,380.629,configs/ranker.yaml
20260501_161523,"ranker[decaypop,als,repeat,itemknn,artist_pop,album_pop,recent_likes,audio_knn]",50m,val,369.5784,configs/ranker.yaml
20260501_161523,"ranker[decaypop,als,repeat,itemknn,artist_pop,album_pop,recent_likes,audio_knn]",50m,test,366.5068,configs/ranker.yaml
20260502_133306,"ranker[decaypop,als,repeat,itemknn,artist_pop,album_pop,recent_likes,audio_knn]",50m,val,389.5979,configs/ranker.yaml
20260502_133306,"ranker[decaypop,als,repeat,itemknn,artist_pop,album_pop,recent_likes,audio_knn]",50m,test,384.0966,configs/ranker.yaml
20260503_133728,"ranker[decaypop,als,repeat,itemknn,artist_pop,album_pop,recent_likes,audio_knn]",500m,val,382.8246,configs/ranker.yaml
20260503_133728,"ranker[decaypop,als,repeat,itemknn,artist_pop,album_pop,recent_likes,audio_knn]",500m,test,378.5924,configs/ranker.yaml
20260504_204955,"ranker[decaypop,als,repeat,itemknn,artist_pop,album_pop,recent_likes,audio_knn]",500m,val,295.0869,configs/ranker.yaml
